Universidad de Origen:;Título:;Nº referencia de la solicitud:;Tipo:;Apellidos y Nombre/ Persona Jurídica:;Nombre/ Persona Jurídica-C2:;Nombre y apellidos-C2:;Solicitada:;Fecha solicitud:;Denegada:;Concedida:;Nº BOPI /Asiento registral/Registro VV:;¿Abandonada?;Códigos CIP:;Breve Descripción/Resumen:;Palabras Clave:;Clasificación: (Códigos UNESCO);País/es de prioridad:;Área Nacional;Área Europea;Área PCT;Otros (especificar);Posible aplicación industrial;Especificar el nº de referencia;Observaciones;Estudio previo (si/no);Plan de comecialización (si/no);Plan de negocio (si/no);S/N;Posible aplicación industrial:;Observaciones:
Valladolid;Aplicación de simulación en JAVA para el estudio de la propagación de señales en líneas de transporte.;VA-288-2007;Registro de Propiedad intelectual;Pedro Chamorro Posada.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;28/11/2007;NO;SI;00/2008/3133;;;Aplicación de simulación en JAVA para el estudio de la propagación de señales en líneas de transmisión.;;;;;;;;;;;NO;NO;NO;;;
Valladolid;Aplicación de simulación en JAVA para el estudio de la propagación lineal y no lineal de pulsos en fibras ópticas y la interacción de solitones ópticos temporales.;VA-289-2007;Registro de Propiedad intelectual;Pedro Chamorro Posada.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;28/11/2007;NO;SI;00/2008/3134;;;Aplicación de simulación en JAVA para el estudio de la propagación lineal y no lineal de pulsos en fibras ópticas y la interacción de solitones ópticos temporales.;;;;;;;;;;;NO;NO;NO;;;
Valladolid;Mezcla de colorantes fluorescentes y procedimientos para teñir el núcleo y el citoplasma celular que permite estudiar la morfología de las células sobre cualquier tipo de soporte;ES200703132;Patente;Manuel José Gayoso Rodríguez.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;20/11/2007;NO;SI;ES2326061;NO;"G01N1/30; C12Q1/68; G01N1/30; C12Q1/68 ";El procedimiento consiste en utilizar una mezcla de colorantes fluorescentes que contiene un colorante para el núcleo celular y otro para el citoplasma de forma que, entre otras aplicaciones, sea posible la observación, con microscopia de epifluorescencia, de cultivos celulares realizados sobre soportes opacos y transparentes.;;;España;SI;NO;NO;;;;;NO;NO;NO;;SI;
Valladolid;Sensor en línea y sistema para la obtención del contenido de grasa en leche;P200703153;Patente;Miguel Ángel Pérez García, Rocío Muiz Vega, Carlos Enrique Carleos Artime, Jesús Ángel Baró de la Fuente.;"UNIVERSIDAD DE VALLADOLID
UNIVERSIDAD DE OVIEDO";"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;20/11/2007;NO;SI;ES2346494;NO;;"Sensor en línea y sistema para la obtención del contenido de grasa en leche que son; un conducto por el que pueda fluir la leche y que dispone de un orificio transparente a la luz y de una placa situada a corta distancia y paralela a dicho orificio, de forma que siempre haya leche en toda la sección que va desde el orificio hasta esa placa; y un sistema capaz de producir la correspondiente luz de excitación en el infrarrojo cercano o en el visible, y de recoger la señal de luz reflejada por la leche.";;;España;SI;NO;NO;;;;;NO;NO;NO;;SI;
Valladolid;GRAPSI_DRAW. Gráfico Psicrométrico Digital.;VA-278-2007;Registro de Propiedad intelectual;Luis Manuel Navas Gracia, Daniela de Carvalho Lopes, Evandro de Castro Melo, Adriana Correa Guimaraes.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;15/11/2007;NO;SI;00/2008/3123;;;Software para calcular las propiedades psicrométricas y simular los procesos psicrométricos de base con la precisión de los métodos analíticos, también muestra los resultados en los gráficos trazados en la pantalla del ordenador.;;;;;;;;;;;NO;NO;NO;;;
Valladolid;Método para la detección del riesgo de desarrollar vitrerrenopatíaproliferante (VPR).;P200702532;Patente;Jimena Rojas Spano, Itziar Fernández Martínez, María Teresa García Gutiérrez, José Carlos Pastor Jimeno, María Rosa Sanabria Ruiz, Angel M. Carracedo Alvarez, María Brion Martínez, Beatriz Sobrino Rey.;"UNIVERSIDAD DE SANTIAGO DE COMPOSTELA
UNIVERSIDAD DE VALLADOLID";"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;26/09/2007;NO;SI;ES2337115;NO;C12Q1/68B6 ;La presente invención se refiere a un método que permite identificar el riesgo de desarrollar vitreorretinopatía proliferante en aquéllas personas que son sometidas a cirugías oculares. Más concretamente, el método se basa en la detección de una serie de polimorfismo de un solo nucleótido o grupos de SNPs (Haplotipos) que predisponen al desarrollo de la enfermedad.;;;España;SI;NO;SI;;;;;NO;NO;NO;;SI;
Valladolid;Proceso de asignación y optimización de recursos con garantías de calidad de servicio en sistemas de satélite basados en el estándar DVB-RC ;P200701798 ;Patente;Belén Carro Martínez, Javier Manuel Aguiar Pérez, Borja De la Cuesta De Diego, Antonio Javier Sánchez Esguevillas.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;22/06/2007;NO;SI;ES2330179;NO;"H04W28/16; H04W28/16";Mecanismo de asignación de ancho de banda en sistemas de satélite basados en el estándar DVB-RCS. Esta invención se centra en el proceso de reparto de la capacidad del canal de retorno en sistemas basados en satélite, para ello realiza una distinción entre paquetes proporcionando diferentes niveles de calidad de servicio que se traduce en un tratamiento dispar a la hora de repartir el ancho de banda disponible.;;;España;SI;NO;NO;;;;;NO;NO;NO;;SI;
Valladolid;Herramienta integrada para total optimización (HITO-W).;VA-399-2006;Registro de Propiedad intelectual;César De Prada Moraga, Raúl García Benito, Cristea Smaranda, Jesús María Zamarreño Cosme, María Teresa Alvarez Alvarez.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;26/12/2006;NO;NO;;;;Paquete software orientado a la industria de procesos para la implementación de un control jerárquico. Permite realizar la regulación de un proceso con múltiples variables manipuladas y controladas, a las que pueden asignarse valores de límites inferiores y superiores utilizando técnicas de control predictivo.;;;;;;;;;;;NO;NO;NO;;SI;
Valladolid;Equipo y procedimiento para hornear productos alimentarios con variación de la presión;ES20070000006 20061222 ;Patente;Manuel Gómez Pallarés, Bonastre I. Oliete Mayorga, Pedro Antonio Caballero Calvo.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;22/12/2006;NO;SI;ES2320297 ;NO;A21B1/00;La invención consiste en un horno dotado de elementos que le permiten variar la presión, bien aplicando vacío bien una presión superior a la atmosférica, con objeto de modificar las características del producto final obtenido. A su vez la presión se puede variar dentro de un mismo ciclo de horneado.;;;España;SI;NO;NO;;;;;NO;NO;NO;;SI;
Valladolid;Producto de bollería elaborado con harina de leguminosas;ES20060002319 20060906;Patente;Manuel Gómez Pallarés, Bonastre I. Oliete Mayorga.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;06/09/2006;NO;SI;ES2310103;NO;"A21D13/08; A23L1/20; A21D13/00; A23L1/20 ";"La invención consiste en una gama de productos de bollería, basados en masas batidas, del tipo de magdalenas, bizcochos, pastas de té o ""plum-cakes"", en los que la harina de trigo se ha sustituido total o parcialmente por harina de leguminosas.";;;España;SI;NO;NO;;;;;NO;NO;NO;;SI;
Valladolid;Método y sistema de retroiluminación y análisis digital de imagen para la valoración de placas de ensayo colorimétrico;P200602320;Patente;Jesús Angel Baró de la Fuente, Miguel Angel Pérez García.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;06/09/2006;NO;NO;;SI;;Método de valoración de pruebas diagnósticas colorimétricas consistente en tomar una fotografía digital de una placa y aplicar al fichero obtenido un programa informático que analiza y cuantifica las componentes de color de los píxeles correspondiente a cada uno de los pozuelos de la placa.;;;España;SI;NO;NO;;;;;NO;NO;NO;;SI;
Valladolid;Optimizer Beta2.;VA-309-2006;Registro de Propiedad intelectual;Vasile Chiriac, Manuel San Juan Blanco.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;30/08/2006;NO;NO;;;;Programa de ordenador que sirve para determinar el esquema óptimo de orientación de las piezas para el corte de cintas, tiras, hojas o placas, en una o más filas. (Realizado en Visual C++).;;;;;;;;;;;NO;NO;NO;;SI;
Valladolid;Programa de ordenador para la reconstrucción tridimensional ecográfica con modelo a priori de la región de interés.;VA-7-2006;Registro de Propiedad intelectual;Raúl San José Estépar, Marcos Antonio Martín Fernández, Carlos Alberola López.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;10/01/2006;NO;SI;00/2007/509;;;Permite convertir sistemas de ultrasonidos tradicionales, presentes en la práctica hospitalaria diaria, en sistemas 3D con un coste adicional mínimo ligado a la adquisición de sistemas de posicionamiento.;;;;;;;;;;;NO;NO;NO;;;
Valladolid;Procedimiento e instalación para la biometanización de materia orgánica;ES20050002135 20050825 ;Patente;Fernando Fernández-Polanco, María Fernández-Polanco, Pedro Antonio García Encina.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;25/08/2005;NO;SI;ES2289886 ;NO;"C02F3/28; C02F3/28 ";El procedimiento se refiere a digestores anaerobios de cualquier geometría, rango de temperatura y tipo de materia orgánica, que se caracterizan por no estar herméticamente cerrados, sino que utilizan entradas con cierre hidráulico, que conectan la atmósfera con la fase en digestión y permiten mantener las condiciones para el desarrollo del proceso biológico.;;;España;SI;NO;NO;;;;;NO;NO;NO;;SI;
Valladolid;Nuevos complejos de niquel catalozadores para la polimerización y copilimerización de olefinas cíclicas;ES20050001602 20050622 ;Patente;Juan Angel Casares González, Pablo Espinet Rubio, Jesús Mar Martínez Llarduva, Gorka Salas Hernández.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;22/06/2005;NO;SI;ES2278504;NO;"C07F15/04; C07F9/74; C07F9/92; C08F4/80; C07F15/00; C07F9/00; C08F4/00 ";Estos compuestos son capaces de actuar como catalizadores para la polimerización y copolimerización de olefinas cíclicas, en particular norborneno. Además, a partir de ellos es posible obtener nuevos catalizadores mediante reacciones sencillas de sustitución de ligando.;;;España;SI;NO;NO;;;;;NO;NO;NO;;SI;
Valladolid;BARTOM. Maniquí matemático antromórfico para cálculo de dosis absorbidas en órganos en irradiación externa e interna.;VA-118-2005;Registro de Propiedad intelectual;Raquel Barquero Sanz, Thomas McGowan Edwards.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;20/06/2005;NO;NO;;;;Maniquí matemático antromórfico para cálculo de dosis absorbidas en órganos en irradiación externa e interna;;;;;;;;;;;NO;NO;NO;;;
Valladolid;Preparado para la elaboración de masas y productos derivados de masas batidas para enfermos celíacos;ES20050001063 20050425 ;Patente;Manuel Gómez Pallarés.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;25/04/2005;NO;SI;ES2301277;NO;"A21D13/08; A23L1/035; A23L1/10; A21D13/00; A23L1/03; A23L1/10";"La invención consiste en la elaboración de un preparado de harina de arroz para la elaboración de bizcochos y productos como magdalenas, ""plum-cakes"", pastas de té o similares a partir masas batidas. El producto se preparará mezclando harina de arroz, hidrocoloides, emulgentes y proteínas alimentarlas, teniendo en cuenta que todos los productos utilizados deben de estar libres de gluten. El consumidor deberá utilizar el preparado sustituyendo en las fórmulas habituales la harina de trigo por el preparado.";;;España;SI;NO;NO;;;;;NO;NO;NO;;SI;
Valladolid;Equipo y procedimiento para la determinación de actividad metanogénica de fangos, biodegradabilidad de muestras sólidas y líquidas y toxicidad/inhibición de compuestos;ES20040000626 20040308 ;Patente;Fernando Fernández-Polanco, Pedro Antonio García Encina, Pedro Nieto Díez, Sara Pérez Elvira, María Fernández-Polanco.;"UNIVERSIDAD DE VALLADOLID
EMGRISA";"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;08/03/2004;NO;SI;ES2268925;NO;"G01N33/00; C02F3/28; G01N33/00; C02F3/28 ";Equipo y procedimiento para la determinación de los parámetros que rigen el diseño y operación de procesos biológicos anaerobios.;;;España;SI;NO;NO;;;;;NO;NO;NO;;SI;
Valladolid;Polímeros con grupos estannilo derivados de la polimerización vinílica de norbornenos estannilados, procedimiento para su obtención y aplicaciones.;ES20030002418 20031016 ;Patente;Ana Carmen Albéniz Jiménez, Juan Angel Casares González, Pablo Espinet Rubio, Blanca Martín Ruiz, María del Mar Villareja Hidalgo, Ruth Benavente Martínez.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;16/10/2003;NO;SI;ES2237309 ;NO;"C08F32/08; C08G79/12; C08K5/57; C08F32/00; C08G79/00; C08K5/00; (IPC1-7): C08G79/12; C08F32/08; C08K5/57 ";"Se trata de nuevos polímeros obtenidos de la polimerización vinílica de derivados de norborneno con grupos Sn(R)2R' o de la copolimerización de esos derivados con norborneno, donde R es un grupo alquilo y R' puede ser un grupo, alquilo; arilo, vinilo o un haluro.";;;España;SI;NO;NO;;;;;NO;NO;NO;;SI;
Valladolid;Conversor Digital/Analógico;ES20030001619 20030704 ;Patente;Jesús Arias Alvarez, Luis Quintanilla Sierra, Lourdes Enriquez Giraudo, José Vicente Antón, David Bisbal van Bylen, Jacinto San Pablo García, Juan Barbolla Sancho.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;04/07/2003;NO;SI;ES2238146;NO;"H03M3/02; H03M3/02; (IPC1-7): H03M3/02 ";Permite reducir notablemente la sensibilidad al jitter del reloj de los conversores Sigma-Delta de tiempo continuo. ;;;España;SI;NO;NO;;;;;NO;NO;NO;;SI;
Valladolid;Proteína musarmina 4 recombinante, gen que la codifica, procedimiento de obtención y aplicaciones.;ES20030001318 20030528 ;Patente;Tomás Girbés Juan, María Begoña Barriuso Magdaleno, María del Pilar Antolín Martín, Francisco Javier Arias Vallejo, Raquel Muñoz Martínez.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;28/05/2003;NO;SI;ES2239876;NO;"A61P31/18; A61P35/00; C12N15/29; C12N15/82; C12N9/24; A61K38/00; A61P31/00; A61P35/00; C12N15/29; C12N15/82; C12N9/24; A61K38/00; (IPC1-7): A61K38/56; A61P31/18; A61P35/00; C07K14/415; C12N15/29; C12N15/52; C12N9/22";Proteína inactivadora de ribosomas denominada musarmina 4 recombinante, gen que la codifica, procedimiento de expresión en sistema bacteriano, purificación y aplicaciones de dicha proteína de utilidad en la terapia dirigida a células blanco y en la producción de plantas resistentes a hongos, virus y predadores.;;;;;;;;;;;NO;NO;NO;;SI;
Valladolid;Irrigador de Flujo continuo;ES20030001319 20030526 ;Patente;Ramiro Merino de la Fuente.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;26/05/2003;NO;SI;ES2237990 ;NO;"A47K7/00; A61H35/00; A47K7/00; A61H35/00; (IPC1-7): A61H35/00; A47K7/00 ";Se trata de un aparato que sin necesidad de ser introducido a través del ano es capaz de inyectar un chorro de agua turbulenta y a alta velocidad que arranca todos los residuos de heces de las paredes del recto y del colon descendente que son expulsados y eliminados inmediatamente limpiando de residuos este último tramo del tubo digestivo y de su paquete varicoso lo que aumenta el nivel de higiene del usuario y repercute inmediatamente en su estado de salud.;;;España;SI;NO;NO;;;;;NO;NO;NO;;SI;
Valladolid;Gen de Lecticina Dimérica de hojas de Sambucus Ebulus;ES20030000060 20021223 ;Patente;Tomás Girbés Juan, Mª Angeles Rojo Rodríguez, Francisco Javier Arias Vallejo.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;23/12/2002;NO;SI;ES2229878 ;NO;"C12N15/29; C12N15/29; (IPC1-7): C12N15/29 ";Procedimiento para obtener la secuencia nucleotídica de la lectina SELid presente en la planta Sambucus ebulus L.;;;España;SI;NO;NO;;;;;NO;NO;NO;;SI;
Valladolid;Sistema marcador de zonas tratadas y zonas sin tratar, para aplicaciones agricolas;ES20020002325 20020930;Patente;Jaime Gómez Gil, José Fernando Díaz Higuera, Rafael Mompó Gómez, Juan Pablo de Castro Fernández, Francisco Javier Díaz Pernas.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;30/09/2002;NO;SI;ES2243100;NO;"A01B69/00; A01B69/00; (IPC1-7): A01B69/00 ";El sistema propuesto es un dispositivo electrónico que incorpora un sistema de posicionamiento por satélite. Su destino es la incorporación a un tractor agrícola. El sistema posee un microcontrolador y en el transcurso de la aplicación, va almacenando en una memoria información geográfica precisa de las zonas tratadas. A su vez, va informando de si los puntos en la transversal de la dirección de trabajo han sido ya tratados o aún están sin tratar referenciándolos a la posición actual y al ancho de trabajo.;;;España;SI;NO;NO;;;;;NO;NO;NO;;SI;
Valladolid;Analizador del comportamiento de la masa del horneado;ES20010000850 20010405;Patente;Manuel Gómez Pallarés.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;05/04/2001;NO;SI;ES2208004;NO;"A21B1/40; A21C13/00; G01N33/10; A21B1/00; A21C13/00; G01N33/02; (IPC1-7): A21B1/40; A21C13/00; G01N33/10";El sistema consta de una cámara calefactada, con temperatura controlada y dispositivo para medir el incremento de volumen de masa en función del tiempo en la operación de horneado, controlándose la temperatura del aire y de la masa.;;;España;SI;NO;NO;;;;;NO;NO;NO;;SI;
Valladolid;Dispositivo para la medición de magnitudes forestales;ES20010000767 20010402 ;Patente;José Reque Kilchenmann, Alfonso Fernández Manso.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;02/04/2001;NO;SI;ES2182688 ;NO;"G01B3/10; G01B5/00; G01B3/02; G01B5/00; (IPC1-7): G01B5/00; G01B3/10 ";El aparato que propone este invento para medir las magnitudes forestales, es pequeño, compacto, fácilmente manejable por una sola persona y proporciona todos los datos necesarios con precisión y fiabilidad suficientes para satisfacer las necesidades mínimas del sivicultor.;;;España;SI;NO;NO;;;;;NO;NO;NO;;SI;
Valladolid;Equipo de medición cíclica de parámetros fisiológicos y mecánicos durante el esfuerzo físico en deportistas en general y en ciclistas en particular;ES20000002872 20001130 ;Patente;Fernando Rull Pérez, Javier Alvarez Benedí.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;30/11/2000;NO;SI;ES2170024;NO;"A61B5/01; A61B5/053; B62J99/00; A61B5/01; A61B5/053; B62J99/00; (IPC1-7): B62J39/00; A61B5/01; A61B5/053 

";Equipo ligero, de reducido tamaño, bajo consumo y elevada autonomía, todo lo cual lo hace especialmente útil en el ámbito deportivo, en especial para su uso por corredores de fondo, ciclistas y centros de alto rendimiento, tanto en laboratorio como en competición.;;;España;SI;NO;NO;;;;;NO;NO;NO;;SI;
Valladolid;Gen de la proteina inactivadora de ribosomas de hojas de sambucus nigra, denominada nigrina 1 y aplicaciones de utilidad en la terapia del cáncer y del sida y en la producción de plantas resistentes a hongos fitopatogénicos y virus vegetales.;ES20000002194 20000831 ;Patente;Tomás Girbés Juan, Francisco Javier Arias Vallejo, María del Pilar Antolín Martín.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;31/08/2000;NO;SI;ES2230923 ;NO;"A61K38/46; A61P31/18; A61P35/00; C07K14/415; C12N9/22; C12N15/29; C12N15/55; A61K38/43; A61P31/00; A61P35/00; C07K14/415; C12N9/22; C12N15/29; C12N15/55; (IPC1-7): C12N15/29; C12N9/22; C12N15/55; A61K38/46; A61P31/18; A61P35/00; C07K14/415 ";Procedimiento para su obtención y aplicaciones de utilidad en la terapia del cáncer y del sida en la producción de plantas resistentes a hongos fitopatogénicos y virus vegetales.;;;España;SI;NO;NO;;;;;NO;NO;NO;;SI;
Valladolid;Gen de la proteina inactivadora de ribosomas de hojas de Sambucus Ebulus denominada Ebulina 1, procedimiento para su obtención y aplicaciones útiles en la terapia del cancer y del SIDA y en la producción de plantas resistentes ahongos fitopatogénicos y virus vegetales.;ES19990001963 19990825 ;Patente;Tomás Girbés Juan, Lucía Cítores González, Rosario Iglesias Alvarez, José Miguel Ferreras Rodríguez, Yolanda Pérez Bragado.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;25/08/1999;NO;SI;ES2169968 ;NO;"C07K14/415; C12N9/22; C12N15/29; C12N15/52; C12P21/02; C07K14/415; C12N9/22; C12N15/29; C12N15/52; C12P21/02; (IPC1-7): C12N15/29; C12N15/52; C12P21/02; C07K14/415 ";Procedimiento para obtener la secuencia nucleotídica y la propia secuencia que codifica a la proteína inactivadora de ribosomas ebulina 1 presente en la planta Sambucus Ebulus L.;;;España;SI;NO;NO;;;;;NO;NO;NO;;SI;
Valladolid;Sistema para el guiado automático de vehículos en un entorno controlado;ES19990001661 19990715 ;Patente;Alonso Alonso Alonso, Roberto Hornero Sánchez.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;15/07/1999;NO;SI;ES2155794;NO;"G01S15/00; G05D1/02; G01S15/00; G05D1/02; (IPC1-7): G05D1/02; G01S15/00 ";El sistema propuesto hace posible el guiado automático de vehículos, convenientemente equipados, a través de un entorno conocido y dotado de sensores fijos.;;;España;SI;NO;NO;;;;;NO;NO;NO;;SI;
Valladolid;Dispositivo sensor con base películas delgadas de Ftalocianinas depositadas sobre microelectrodos;ES19990000675 19990326;Patente;Raúl De Saja González, José Antonio De Saja Sáez, María Luz Rodríguez Menéndez.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;26/03/1999;NO;SI;ES2156073;NO;"C09B47/04; G01N27/12; C09B47/04; G01N27/12; (IPC1-7): C09B47/04; G01N27/12";Red de sensores electrónicos basados en el uso de películas delgadas de espesor controlado, de ciertos semiconductores orgánicos, cuya resistividad varía al ser expuestos a los vapores procedentes de la descomposición del pescado o marisco. Las señales obtenidas son directamente proporcionales a la cantidad de aminas volátiles emitidas, permitiendo evaluar el estado de conservación.;;;España;SI;NO;NO;;;;;NO;NO;NO;;SI;
Valladolid;Máquina portatil de estructura modular para medir las dimensiones de los objetos y controlar el proceso de fabricación para la generación de superficies;ES19990000395 19990219 ;Patente;Felipe Montoya Moreno, Bogdan Epureanu Juliu.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;19/02/1999;NO;SI;ES2185431;NO;"G01B5/008; G01B5/008; (IPC1-7): G01B5/008";Máquina portátil de medidad de coordenadas 3D consistente en una estructura modular formada por articulaciones y brazos de diferentes formas y tamaños ensamblados en serie, con el objeto de optimizar el proceso de medida.;;;España;SI;NO;NO;;;;;NO;NO;NO;;SI;
Valladolid;Proceso biológico anaerobio para el tratamiento de residuos o aguas residuales que contengan compuestos oxidados de azufre y materia nitrogenada;ES19990000339 19990209 ;Patente;Fernando Fernández-Polanco, Pedro Antonio García Encina, Neivy Fernández Manresa, María Fernández-Polanco.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;09/02/1999;NO;SI;ES2161123;NO;"C02F3/28; C02F3/28; (IPC1-7): C02F3/28";La invención permite la transformación directa de parte o todo el nitrógeno orgánico o inorgánico, a nitrógeno elemental y de las formas oxidadas de azufre a azufre elemental.;;;España;SI;NO;NO;;;;;NO;NO;NO;;SI;
Valladolid;Sistema para la medida y control de la humedad de sustancias fluidas dieléctricas en tiempo real;ES19990000036 19981223 ;Patente;Alonso Alonso Alonso, Juan López Coronado, Miguel Lopez Coronado.;UNIVERSIDAD DE VALLADOLID;"Jose Luis Velasco, 983423265
--
promotores@funge.uva.es 
Fundación General de la Universidad de Valladolid.
Plaza de Santa Cruz, nº 6
47002 Valladolid";SI;23/12/1998;NO;SI;ES2160468;NO;"G01N11/06; G01N22/04; G01N11/00; G01N22/00; (IPC1-7): G01N22/04; G01N11/06";El sistema propuesto utiliza la energía de microondas absorbida por un material dieléctrico al ser atravesado por una radiación de este tipo, para estimar su contenido de agua.;;;España;SI;NO;NO;;;;;NO;NO;NO;;SI;
